rxcui	conceptId	drugBank
59839	981654	DB00299
282446	1704139	DB01263
28144	903893	DB01084
828682	19044273	DB06716
1543173	45776537	DB09041
1368001	43013884	DB06203
68099	1703603	DB00426
5653	19078156	DB00249
2180	43081078	DB01327
426	19052489	DB01786
1310520	42900584	DB08880
3364	43084013	DB00900
18989	936519	DB03793
203194	19026803	DB00345
341248	1526475	DB00973
357977	1336539	DB01268
26237	1000772	DB00889
8761	953391	DB00782
430	1753745	DB00518
8701	751698	DB00721
4450	1754994	DB00196
7975	19028050	DB00859
3353	924296	DB01144
8785	1153664	DB00647
4494	1555887	DB01185
1372539	43525870	DB02377
3350	43083998	DB00720
3455	928980	DB01093
3131	43083755	DB00746
3393	1126128	DB00861
1441546	44507464	DB06728
480639	19059654	DB06274
50610	1366310	DB00014
119565	913782	DB01036
620	43117217	DB00915
114477	711584	DB01202
4917	1361711	DB00727
274771	19002912	DB01280
9601	965748	DB00747
1298840	1196514	DB00180
5936	19080817	DB04711
276237	1703069	DB00879
787390	19026459	DB06204
32937	722031	DB00715
1426379	43532236	DB04167
266604	1401581	DB00765
358255	936748	DB00673
2396	992590	DB00880
1367190	43012882	DB02045
1307037	42899120	DB02210
9871	19068999	DB00815
703	1309944	DB01118
236388	19056157	DB00825
21212	1750500	DB01211
134748	715710	DB01367
594680	980955	DB00632
4888	1761033	DB03266
197	43077174	DB06151
42736	1353011	DB00380
3322	723013	DB00829
10379	1636780	DB00624
117466	19011093	DB00300
6378	1189766	DB00854
1514	43076669	DB00443
5489	1174888	DB00956
4678	1757803	DB01004
2403	43081326	DB00477
40114	1344965	DB01018
358263	1336926	DB00820
9346	19062817	DB00140
10637	902950	DB00525
35605	19098978	DB02955
20489	1749008	DB01416
1362875	43012218	DB06894
1546399	19012598	DB01339
10795	1704758	DB08604
1535457	44818466	DB09063
9945	970011	DB01638
42319	950696	DB00585
31994	1515774	DB00957
114052	19011031	DB02789
9997	970250	DB00421
2540	1797258	DB01597
83818	1347384	DB01029
1291301	42800040	DB06237
1364290	43012718	DB06705
279950	19003570	DB08439
42463	1551860	DB00175
1895	19018544	DB01373
6387	989878	DB05291
2002	740275	DB00564
36676	939506	DB01390
1364388	43012758	DB04147
318	19015230	DB00171
6693	19125195	DB00784
10473	19137385	DB04572
2567	43081507	DB00155
2186	43081084	DB00493
24812	795661	DB00949
2348	990069	DB00446
2189	1775741	DB01331
3108	43083729	DB00250
72611	19127117	DB01066
1244607	42709325	DB08819
52071	19113037	DB00132
1819	1133201	DB00921
8340	19046291	DB00592
6058	1383925	DB00883
714438	40167554	DB06589
