FDA_PreferredTerm	FDA_UNII	RxNorm_CUI	DrugBank_Name	DrugBank_CUI	ChEBI_CUI
MERCAPTAMINE BITARTRATE	QO84GZ3TST	81990	None	None	None
CHROMIUM DICHLORIDE	CET32HKA21	21032	None	None	None
TYROPANOATE	4F05V145YR	10960	None	None	None
DIPENTAERYTHRITYL HEXAHYDROXYSTEARATE	74J1X57U42	1313746	None	None	None
SULFAMERAZINE SODIUM	JOV4UJY07O	1306109	None	None	None
RED BELL PEPPER ALLERGENIC EXTRACT	E917XHH50V	901329	None	None	None
SHAGBARK HICKORY POLLEN EXTRACT	54UN9R2798	852221	None	None	None
JUNIPER	464910T5N9	6085	None	None	None
FLUOCORTOLONE PIVALATE	9J8AL6K50Q	4465	None	None	None
DOUGLAS FIR POLLEN EXTRACT	ZEI09763J3	1098257	None	None	None
METHSCOPOLAMINE BROMIDE	RTN51LK7WL	56092	None	None	CHEBI_61276
PIPOTIAZINE PALMITATE	4Q3H01QRMI	235745	None	None	None
BIMECTIN	8883YP2R6D	867598	None	None	None
METHYL STEARATE	8D4NXF3ZH7	1363574	None	None	None
GRISEOFULVIN, ULTRAMICROCRYSTALLINE	32HRV3E3D5	217398	None	None	None
CAT DANDER EXTRACT	ZDN2AC0L08	465953	None	None	None
PRIDINOL MONOMESYLATE	AQ4K0AJT6G	55092	None	None	None
STEVIOL	4741LYX6RT	1363645	None	None	None
CAPRYLHYDROXAMIC ACID	UPY805K99W	1307145	None	None	None
NELUMBO NUCIFERA FLOWER	61W322NLDV	1309447	None	None	None
OCLACITINIB	99GS5XTB51	1487006	None	None	None
METIROSINE	DOQ0J0TPF7	266604	None	None	None
DIPHOSPHOPYRIDINE NUCLEOTIDE	0U46U6E8UK	1044975	None	None	None
BONINE	HDP7W44CIO	1694	None	None	None
PASIREOTIDE DIASPARTATE	I4P76SY3N4	1364104	None	None	None
OXILAN	A4YJ7J11TG	356302	None	None	None
ROSA CANINA LEAF EXTRACT	J3N2Z889QP	1438291	None	None	None
MENTHYL ANTHRANILATE	J9QGD60OUZ	91324	None	None	None
AMANITA PHALLOIDES WHOLE	G252I65I44	1441299	None	None	None
CIMETIDINE HCL	WF10491673	91251	None	None	None
NELUMBO NUCIFERA FLOWER OIL	P658Q19EG2	1310047	None	None	None
ICATIBANT	7PG89G35Q7	1148138	None	None	None
DIBENZ(B,F)(1,4)OXAZEPINE, 2-CHLORO-11-(1-PIPERAZINYL)-	R63VQ857OT	722	None	None	None
PANRETIN	1UA8E65KDZ	219098	None	None	CHEBI_50648
CEFTIOFUR	83JL932I1C	1311521	None	None	None
IOXAGLIC ACID	Z40X7EI2AF	1426458	None	None	None
10H-PHENOTHIAZINE-10-PROPANAMINE, N,N-DIMETHYL-2-(TRIFLUOROMETHYL)-	RO16TQF95Y	10805	None	None	None
SODIUM CALCIUM EDETATE	8U5D034955	1903	None	None	None
CALCIUM PEROXIDE	7FRO2ENO91	1426443	None	None	None
PEANUT ALLERGENIC EXTRACT	QE1QX6B99R	891658	None	None	None
DIPENTAERYTHRITYL HEXA C5-10 ACID ESTERS	U418SBN5DF	1427412	None	None	None
QUILLAJA SAPONARIA WOOD	1L8K0593B6	1438110	None	None	None
RIFAPENTINE	XJM390A33U	35617	None	None	None
GERMANIUM SESQUIOXIDE	96WE91N25T	1314410	None	None	None
PHENOL, 4-((7-CHLORO-4-QUINOLINYL)AMINO)-2-((DIETHYLAMINO)METHYL)-	220236ED28	720	None	None	None
IRIS PALLIDA ROOT EXTRACT	LVV57EM5OG	1309832	None	None	None
FOOD BLUE 2	H3R47K3TBD	1310605	None	None	None
LOBELIA SPICATA LEAF	1G4GK01F67	1311398	None	None	None
TRIACETONEAMINE-N-OXYL	7W1863PEH5	10757	None	None	None
PGE2	K7Q1JQR04M	3478	None	None	None
LEVOMEPROMAZINE HCL	42BB1Y2586	91124	None	None	None
ACTHIB	FLV5I5W26R	637866	None	None	None
PRANDIN	668Z8C33LU	219335	None	None	None
GALIUM APARINE	Z4B6561488	1345678	None	None	None
EEL CALCITONIN	R5527T0R0U	3757	None	None	None
1,8-DIHYDROXYANTHRAQUINONE	Z4XE6IBF3V	22293	None	None	None
ACETYLGLUCOSAMINE	V956696549	1362871	None	None	None
TURNIP ALLERGENIC EXTRACT	Z38C7FBM49	883414	None	None	None
CLARITIN	7AJO3BO7QN	203576	None	None	None
ECHOTHIOPHATE	0F350BVT6S	89778	Echothiophate	DB01057	CHEBI_4753
BENZENESULFONAMIDE, N-((BUTYLAMINO)CARBONYL)-4-METHYL-	982XCM1FOI	10635	None	None	None
DIHYDROERGOTAMINE MESYLATE	81AXN7R2QT	203176	None	None	None
CAJUPUT OIL	J3TO6BUQ37	1309211	None	None	None
GAMMA-CYCLODEXTRIN	KZJ0BYZ5VA	1366989	None	None	None
GENGRAF	83HN0GTJ6D	261530	None	None	CHEBI_4031
LEVOTHROID	9J765S329G	218001	None	None	None
BOS TAURUS PITUITARY GLAND	7JM57I419K	1310291	None	None	None
SACCHARIDE ISOMERATE	W8K377W98I	1314278	None	None	None
TRIMETAZIDINE	N9A0A0R9S8	10826	None	None	None
(PHTHALOCYANINATO(2-)) COPPER	3VEX9T7UT5	1424646	None	None	None
DIISOSTEARYL MALATE	QBS8A3XZGQ	1363602	None	None	None
ACETYLPROMAZINE	54EJ303F0R	155	None	None	CHEBI_44932
MEDRONIC ACID	73OS0QIN3O	1314368	None	None	None
RISEDRONATE	KM2Z91756Z	73056	None	None	None
BISULFITE	OJ9787WBLU	1366859	None	None	None
SHIITAKE MUSHROOM	1A64QN2D2F	1362688	None	None	None
4-METHYL-2-PENTANONE	U5T7B88CNP	1362929	None	None	None
DIMETHICONE PEG-7 ISOSTEARATE	JVS3399FNW	1313742	None	None	None
BUR OAK POLLEN EXTRACT	57BTU4547U	900991	None	None	None
OAT LOOSE SMUT EXTRACT	YIH315U1TU	968475	None	None	None
ALUMINUM	CPD4NFA903	1311504	Aluminium	DB01370	CHEBI_28984
INFLUENZA A VIRUS A/CALIFORNIA/7/2009 X-179A (H1N1) ANTIGEN (UV, FORMALDEHYDE INACTIVATED)	V1WM9YDY51	1304180	None	None	None
ATRACURIUM	2GQ1IRY63P	1218	None	None	None
SUCROSE SYRUP	C151H8M554	1305546	None	None	None
CORYDALIS YANHUSUO TUBER	0TUP42692Z	1313230	None	None	None
HAZELNUT, UNSPECIFIED	IW0OM96F6O	891633	None	None	None
GLYCERYL CAPRYLATE	TM2TZD4G4A	1307152	None	None	None
AMANITA MUSCARIA VAR. MUSCARIA FRUITING BODY EXTRACT	DIF093I037	1310111	None	None	None
SORBIC ACID	X045WJ989B	1311139	None	None	None
DHE-45	81AXN7R2QT	227546	None	None	None
PHENTERMINE	C045TQL4WP	8152	Phentermine	DB00191	CHEBI_8080
