drugbankid	drugbankName	pubchemSubstanceId	pubchemCompoundId
DB00551	Acetohydroxamic Acid	46508546	1990
DB00552	Pentostatin	46507116	439693
DB00553	Methoxsalen	46506275	4114
DB00554	Piroxicam
DB00555	Lamotrigine	46505408	3878
DB00556	Perflutren
DB00557	Hydroxyzine	46508556	3658
DB00558	Zanamivir	46508581	60855
DB00559	Bosentan	46507154	104865
DB00560	Tigecycline	46509041	5282044
DB00561	Doxapram	46506829	3156
DB00562	Benzthiazide	46506752	2343
DB00563	Methotrexate	46507678	126941
DB00564	Carbamazepine	46507583	2554
DB00565	Cisatracurium Besylate	46506666	62886
DB00566	Succimer	46504680	9354
DB00567	Cephalexin	46506749	27447
DB00568	Cinnarizine	46506769	1547484
DB00569	Fondaparinux sodium
DB00570	Vinblastine	46504550	241903
DB00571	Propranolol	46505387	4946
DB00572	Atropine
DB00573	Fenoprofen	46504597	3342
DB00574	Fenfluramine	46506096	3337
DB00575	Clonidine	46508119	2803
DB00576	Sulfamethizole	46508656	5328
DB00577	Valaciclovir	46508197	60773
DB00578	Carbenicillin	46505653	20824
DB00579	Mazindol	46509094	4020
DB00580	Valdecoxib	46506229	119607
DB00581	Lactulose	46506757	11333
DB00582	Voriconazole	46506421	71616
DB00583	L-Carnitine	46505864	10917
DB00584	Enalapril
DB00585	Nizatidine	46507554	3033637
DB00586	Diclofenac	46504644	3033
DB00587	Cinalukast	46505799	6436135
DB00588	Fluticasone Propionate
DB00589	Lisuride	46505557	28864
DB00590	Doxazosin	46506825	3157
DB00591	Fluocinolone Acetonide	46506244	6215
DB00592	Piperazine	46507642	4837
DB00593	Ethosuximide	46507617	3291
DB00594	Amiloride	46508156	16231
DB00595	Oxytetracycline	46507025	5280972
DB00596	Halobetasol Propionate	46506187	48175
DB00597	Gadoteridol	46505738	60714
DB00598	Labetalol	46505511	3869
DB00599	Thiopental	46504621	3000715
DB00600	Monobenzone	46507466	7638
DB00601	Linezolid	46504452	441401
DB00602	Ivermectin	46506810	46936176
DB00603	Medroxyprogesterone Acetate
DB00604	Cisapride
DB00605	Sulindac
DB00606	Cyclothiazide	46508269	2910
DB00607	Nafcillin	46508100	8982
DB00608	Chloroquine	46506925	2719
DB00609	Ethionamide	46506077	2761171
DB00610	Metaraminol	46505593	5906
DB00611	Butorphanol	46507553	6916249
DB00612	Bisoprolol	46508844	2405
DB00613	Amodiaquine	46506940	2165
DB00614	Furazolidone	46507291	5323714
DB00615	Rifabutin	46506468	6323490
DB00616	Candoxatril
DB00617	Paramethadione	46509173	8280
DB00618	Demeclocycline
DB00619	Imatinib	46505055	5291
DB00620	Triamcinolone	46507950	31307
DB00621	Oxandrolone	46509027	5878
DB00622	Nicardipine	46504482	4474
DB00623	Fluphenazine	46506645	3372
DB00624	Testosterone	46505691	6013
DB00625	Efavirenz	46506827	64139
DB00626	Bacitracin
DB00627	Niacin	46507508	938
DB00628	Clorazepate	46506595	2809
DB00629	Guanabenz	46505200	5702063
DB00630	Alendronate	46507199	2088
DB00631	Clofarabine	46504968	119182
DB00632	Docosanol	46508049	12620
DB00633	Dexmedetomidine
DB00634	Sulfacetamide	46504544	5320
DB00635	Prednisone	46508166	5865
DB00636	Clofibrate	46504748	2796
DB00637	Astemizole	46508569	2247
DB00638	Inulin	46508287	24763
DB00639	Butoconazole	46508016	47472
DB00640	Adenosine	46508728	60961
DB00641	Simvastatin
DB00642	Pemetrexed	46505640	60843
DB00643	Mebendazole	46508807	4030
DB00644	Gonadorelin	46506144	36523
DB00645	Dyclonine	46506697	3180
DB00646	Nystatin	46504780	11953884
DB00647	Dextropropoxyphene
DB00648	Mitotane	46508319	4211
DB00649	Stavudine	46506943	18283
DB00650	Leucovorin
DB00651	Dyphylline	46504443	3182
DB00652	Pentazocine	46506363	441278
DB00653	Magnesium Sulfate	46508411	24083
DB00654	Latanoprost
DB00655	Estrone	46505916	5870
DB00656	Trazodone	46506648	5533
